Job,Education,Sex,Age,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999
Job,Education,Sex,Age,Total hours worked (Hours),Monthly Total wage (Won),Annual special payments (Won),Employment (Persons),Total hours worked (Hours),Monthly Total wage (Won),Annual special payments (Won),Employment (Persons),Total hours worked (Hours),Monthly Total wage (Won),Annual special payments (Won),Employment (Persons),Total hours worked (Hours),Monthly Total wage (Won),Annual special payments (Won),Employment (Persons),Total hours worked (Hours),Monthly Total wage (Won),Annual special payments (Won),Employment (Persons),Total hours worked (Hours),Monthly Total wage (Won),Annual special payments (Won),Employment (Persons),Total hours worked (Hours),Monthly Total wage (Won),Annual special payments (Won),Employment (Persons)
Technicians and associate professioanls,Under middle shcool,Female,Total,199.6,756579,3947468,812,208.1,455217,1098971,1758,200.4,711584,2248596,522,191,718021,2030208,520,207.3,925053,3302833,404,208.7,1023724,3311438,953,224.6,785401,1352969,4599
Technicians and associate professioanls,High shcool,Total,Total,207.4,849463,3065245,169917,205.6,885117,3405314,170593,203.6,1000484,3864672,202822,198.5,1159291,4514594,189393,194.9,1251511,4964999,220116,198.9,1273974,5071120,174934,203.8,1263547,3571164,307711
Technicians and associate professioanls,High shcool,Male,Total,208.3,899883,3242969,145409,207.4,947611,3652632,142771,205.9,1083900,4173280,163067,200.3,1223293,4735092,162063,196.6,1333863,5243929,179924,199.1,1336458,5310804,150550,204.6,1345644,3671227,242901
Technicians and associate professioanls,High shcool,Female,Total,201.9,550318,2010784,24508,196.5,564427,2136181,27822,194.2,658330,2598825,39755,187.6,779771,3207072,27330,187.4,882853,3716340,40192,197.6,888186,3591280,24384,201,955855,3196137,64810
Technicians and associate professioanls,Jonior college,Total,Total,205.9,776866,2493907,68424,205.1,837976,2664647,99992,202.3,968171,3125675,116044,194.3,1060373,3488835,135254,192.3,1127387,3853891,162829,195.7,1156742,4096048,161132,201.2,1157624,3147112,234900
Technicians and associate professioanls,Jonior college,Male,Total,206.5,832010,2733180,54274,205.8,899112,2997652,74328,203.5,1034143,3408798,91910,196,1126724,3843974,108850,193.6,1206456,4251469,127707,196.4,1232235,4490974,128495,203.1,1275992,3463607,158052
Technicians and associate professioanls,Jonior college,Female,Total,203.7,565354,1576145,14150,203,660913,1700196,25664,197.6,716927,2047451,24134,187.5,786842,2024784,26404,187.5,839885,2408261,35122,193.2,859518,2541188,32637,197.4,914177,2496182,76848
Technicians and associate professioanls,College and university and over,Total,Total,197,1058685,5045428,123394,192.4,1057465,4809308,114812,192.4,1166854,5389077,150510,182.8,1357597,6440049,161634,184.3,1452667,6943146,191269,187.8,1477233,6901849,201222,195.4,1528938,5301700,353887
Technicians and associate professioanls,College and university and over,Male,Total,196.9,1076290,5179190,117165,192.6,1083908,5036229,105240,192.7,1202766,5683802,136360,183,1398372,6798650,146109,184.3,1491296,7266794,173872,188,1530003,7252249,181094,196.3,1584253,5626887,309124
Technicians and associate professioanls,College and university and over,Female,Total,198,727544,2529421,6229,190.2,766744,2314412,9572,189.9,820773,2548881,14150,181.1,973856,3065187,15525,184.3,1066598,3708496,17397,185.7,1002456,3749260,20128,189.6,1146946,3056026,44763
Clerks,Total,Total,Total,203.7,717242,2699167,1216344,200.4,784461,2949112,1216466,199.1,882555,3505327,1289821,192.2,999468,3950432,1314982,191.8,1045655,4257016,1262081,194.5,1061488,4265685,1169011,200.6,1083272,3494144,1233366
Clerks,Total,Male,Total,205.1,849058,3316682,744770,201.8,921780,3592768,746307,200.3,1033005,4286919,779260,193.3,1160359,4799965,804967,193.6,1214761,5106544,753424,195.7,1229173,5151248,690791,202.6,1294260,4430240,616344
Clerks,Total,Female,Total,201.6,509063,1723908,471574,198.1,566488,1927404,470159,197.3,652927,2312396,510561,190.5,745532,2609595,510015,189.3,795173,2998692,508657,192.7,819267,2986484,478220,198.6,872515,2559077,617022
Clerks,Under middle shcool,Total,Total,210.6,791293,2762032,40804,206,841491,2749298,44260,210.5,907841,3070902,39362,203.1,1094550,3874911,38594,201,1110628,4183314,33310,202.2,1094493,3918933,30635,208.1,1100007,3120440,33498
Clerks,Under middle shcool,Male,Total,212.1,839071,2936663,33070,208.6,903456,3011943,35132,211.7,950506,3207125,32420,202.7,1139626,4146700,29353,202.7,1164346,4270609,25918,204.3,1166488,4231963,22704,210.4,1183690,3494541,25233
Clerks,Under middle shcool,Female,Total,204.2,586993,2015324,7734,195.9,602997,1738423,9128,205,708592,2434724,6942,204.5,951369,3011605,9241,195.1,922279,3877240,7392,196.2,888393,3022824,7931,201,844524,1978312,8265
Clerks,High shcool,Total,Total,204.4,649994,2350791,753649,200.9,714683,2629361,740016,200.1,805041,3072000,759000,193.6,913040,3486135,738923,193,969450,3766936,716965,195.5,985669,3837767,623959,201.7,996526,3071404,673877
Clerks,High shcool,Male,Total,207.2,823832,3078218,349741,204,897617,3425909,343494,203.1,1006658,3989099,342510,196.5,1133781,4508359,344707,196.9,1190896,4667819,334534,198.3,1204477,4824411,285409,206.1,1242713,3934461,252044
